RCDTS,Type,District,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Avg Teaching Exp,Bachelor Degree,Masters Degree ,Teacher Retention Rate,Teacher Avg Salary,Admin Avg Salary
030680120260000,District,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,1433.0,55.3,19.0,13.6,59.7,40.3,86.5,59242.9,102934.14
030680220260000,District,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,631.0,44.1,17.0,13.4,65.7,34.3,91.7,41893.15,84599.0
040041000260000,District,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,8003.0,44.6,22.0,11.6,36.9,62.9,88.3,59149.16,93921.76
040042000260000,District,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,1635.0,36.8,19.0,10.8,52.5,47.5,83.5,54835.87,98496.4
041011220220000,District,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,6544.0,58.2,21.0,13.7,35.4,64.2,88.4,65387.99,106559.86
041012050250000,District,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,28144.0,53.5,23.0,13.2,37.4,62.2,82.6,61640.59,88511.92
041012070160000,District,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,2010.0,21.4,23.0,15.6,16.4,83.6,94.2,74676.03,105604.87
041013200260000,District,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,968.0,64.4,15.0,10.7,62.0,38.0,82.9,50163.38,90178.74
041013210260000,District,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,873.0,15.9,17.0,14.0,45.7,54.3,92.4,47763.58,106597.97
041013220260000,District,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,610.0,30.8,17.0,13.9,35.9,64.1,89.3,50883.24,86765.2
041013230260000,District,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,1371.0,23.5,20.0,13.0,41.5,58.5,91.6,51891.99,81463.14
050162020170000,District,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,3547.0,38.5,19.0,13.3,22.2,77.5,91.5,99441.41,147069.13
050162030170000,District,New Trier Twp HSD 203,Northfield,Cook,HIGH SCHOOL,LARGE,3968.0,3.7,22.0,16.6,5.2,94.8,91.3,114323.48,175359.08
050162070170000,District,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,6370.0,27.0,21.0,18.2,19.1,80.4,92.0,114773.46,127447.34
050162110170000,District,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,11841.0,35.5,21.0,14.7,17.1,82.9,94.2,99473.85,140753.85
050162140170000,District,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,12029.0,20.4,21.0,16.2,12.2,87.7,96.1,106043.67,142741.85
050162190170000,District,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,4594.0,31.1,19.0,16.7,13.9,86.1,92.8,113327.81,131354.66
050162250170000,District,Northfield Twp HSD 225,Glenview,Cook,HIGH SCHOOL,LARGE,5172.0,14.5,21.0,15.3,24.2,75.8,91.3,112287.59,158779.59
060162000130000,District,Oak Park - River Forest SD 200,Oak Park,Cook,HIGH SCHOOL,MEDIUM,3415.0,21.6,18.0,14.1,12.6,87.4,93.3,104014.89,141189.05
060162010170000,District,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,8287.0,87.8,23.0,15.0,36.6,63.4,92.3,83141.72,102030.87
060162040170000,District,Lyons Twp HSD 204,La Grange,Cook,HIGH SCHOOL,LARGE,4072.0,12.6,24.0,15.7,10.8,89.2,96.6,109138.91,147032.95
060162080170000,District,Riverside-Brookfield Twp SD 208,Riverside,Cook,HIGH SCHOOL,MEDIUM,1632.0,14.2,23.0,13.9,25.6,74.4,96.0,96486.25,121483.4
060162090170000,District,Proviso Twp HSD 209,Forest Park,Cook,HIGH SCHOOL,LARGE,4454.0,30.2,19.0,12.8,24.3,74.5,80.8,65805.64,112750.0
060162120160000,District,Leyden CHSD 212,Franklin Park,Cook,HIGH SCHOOL,MEDIUM,3457.0,55.9,20.0,15.5,13.4,86.6,93.1,87960.34,126055.03
060162340160000,District,Ridgewood CHSD 234,Norridge,Cook,HIGH SCHOOL,MEDIUM,872.0,25.2,17.0,11.5,37.8,62.2,86.4,76048.18,118347.52
060164010260000,District,Elmwood Park CUSD 401,Elmwood Park,Cook,UNIT,LARGE,2862.0,45.5,23.0,13.5,29.7,70.3,89.6,80881.15,109889.01
070162050170000,District,Thornton Twp HSD 205,South Holland,Cook,HIGH SCHOOL,LARGE,5140.0,58.0,16.0,13.5,23.1,76.1,86.0,78873.46,108552.55
070162060170000,District,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,3075.0,82.5,19.0,13.5,25.4,72.8,87.9,74325.79,106166.89
070162100170000,District,Lemont Twp HSD 210,Lemont,Cook,HIGH SCHOOL,MEDIUM,1418.0,13.5,21.0,15.4,18.3,81.7,95.1,77057.54,128155.89
070162150170000,District,Thornton Fractional Twp HSD 215,Lansing,Cook,HIGH SCHOOL,MEDIUM,3438.0,97.0,21.0,15.0,17.8,80.7,90.6,96045.2,127435.56
070162170160000,District,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,MEDIUM,1944.0,65.1,23.0,13.4,17.8,81.4,93.8,96331.71,121113.9
070162180160000,District,CHSD 218,Oak Lawn,Cook,HIGH SCHOOL,LARGE,5405.0,69.0,19.0,13.8,9.0,90.7,93.5,92368.63,119987.04
070162200170000,District,Reavis Twp HSD 220,Burbank,Cook,HIGH SCHOOL,MEDIUM,1823.0,51.3,21.0,14.8,13.3,86.7,93.4,96026.1,149473.93
070162270170000,District,Rich Twp HSD 227,Matteson,Cook,HIGH SCHOOL,MEDIUM,3001.0,81.3,12.0,12.9,29.5,69.1,78.7,74862.72,106322.0
070162280160000,District,Bremen CHSD 228,Midlothian,Cook,HIGH SCHOOL,LARGE,5089.0,34.3,22.0,14.6,25.6,74.0,92.7,90412.66,135906.32
070162290160000,District,Oak Lawn CHSD 229,Oak Lawn,Cook,HIGH SCHOOL,MEDIUM,1838.0,36.3,22.0,14.1,32.4,67.6,93.4,90118.85,131656.0
070162300130000,District,Cons HSD 230,Orland Park,Cook,HIGH SCHOOL,LARGE,7397.0,19.1,17.0,15.5,7.8,92.2,95.3,89664.62,121902.17
070162310160000,District,Evergreen Park CHSD 231,Evergreen Park,Cook,HIGH SCHOOL,MEDIUM,844.0,26.4,19.0,14.8,21.0,79.0,89.6,82705.7,142003.32
070162330160000,District,Homewood Flossmoor CHSD 233,Flossmoor,Cook,HIGH SCHOOL,MEDIUM,2814.0,22.3,14.0,13.2,22.6,76.9,90.8,88171.83,150844.41
070169010250000,District,Southland College Prep Charter High School,Richton Park,Cook,HIGH SCHOOL,SMALL,533.0,43.7,21.0,7.4,57.4,40.2,81.6,60153.82,123273.26
080083080260000,District,Eastland CUSD 308,Lanark,Carroll,UNIT,MEDIUM,649.0,39.1,20.0,13.0,47.2,52.8,83.7,52704.92,108503.83
080083140260000,District,West Carroll CUSD 314,Mount Carroll,Carroll,UNIT,MEDIUM,1113.0,49.9,18.0,16.5,53.5,46.5,86.8,48061.78,78080.0
080083990260000,District,Chadwick-Milledgeville CUSD 399,Chadwick,Carroll,UNIT,MEDIUM,470.0,28.5,13.0,15.1,59.3,40.7,88.9,50321.25,98303.5
080431190220000,District,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,684.0,25.3,18.0,11.0,73.4,26.6,81.9,36048.25,93781.25
080431200220000,District,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,834.0,34.1,17.0,13.2,34.3,65.7,93.1,59458.05,99899.43
080432050260000,District,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,407.0,30.7,9.0,15.4,68.0,32.0,87.4,45077.96,91134.29
080432060260000,District,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,613.0,39.2,21.0,17.1,46.3,53.7,93.9,56765.81,82892.85
080432100260000,District,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,MEDIUM,511.0,43.6,14.0,17.5,28.9,71.1,99.0,69799.79,109081.4
080432110260000,District,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,253.0,24.5,12.0,16.3,52.8,47.2,93.8,62153.0,109877.29
080891450220000,District,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,3957.0,64.5,17.0,11.8,46.1,52.7,76.4,48507.73,90527.24
080892000260000,District,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,448.0,34.8,5.0,15.7,46.2,53.8,94.4,47813.59,100182.38
080892010260000,District,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,814.0,30.8,20.0,16.5,39.8,60.2,88.6,54698.73,91096.98
080892020260000,District,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,831.0,36.0,17.0,14.7,46.4,51.9,89.0,45174.99,95704.26
080892030260000,District,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,329.0,26.1,13.0,12.0,76.4,23.6,76.9,51298.62,109749.45
090100010260000,District,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,622.0,29.6,20.0,13.9,58.0,39.8,85.6,47033.77,89531.89
090100030260000,District,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,3113.0,19.2,22.0,14.4,48.0,52.0,89.3,53884.57,100935.29
090100040260000,District,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,10014.0,54.1,19.0,10.2,46.2,53.7,82.3,51819.69,89939.01
090100070260000,District,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,1648.0,28.3,22.0,13.0,55.1,44.9,85.0,45800.04,100790.33
090100080260000,District,Heritage CUSD 8,Homer,Champaign,UNIT,SMALL,481.0,42.0,14.0,14.0,76.4,23.6,87.1,49724.29,105714.64
090101160220000,District,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,4590.0,70.4,17.0,10.8,49.3,50.2,81.5,53481.51,101981.41
090101930170000,District,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,753.0,67.1,16.0,9.8,53.4,46.6,81.7,46723.63,86848.35
090103050160000,District,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,468.0,6.6,20.0,13.5,48.2,51.8,93.1,43630.74,98092.33
