RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
530900500020000,District,District 50 Schools,Washington,Tazewell,ELEMENTARY,MEDIUM,3.37,8457951.0,5941057.0,365537.0,3016930.0,2994740.0,519040.0
530900510020000,District,Central SD 51,Washington,Tazewell,ELEMENTARY,MEDIUM,2.96,10222867.0,7137997.0,378177.0,7471443.0,2170984.0,309876.0
530900520020000,District,Washington SD 52,Washington,Tazewell,ELEMENTARY,MEDIUM,2.72,7387904.0,6048441.0,369766.0,4088551.0,2572393.0,280998.0
530900760020000,District,Creve Coeur SD 76,Creve Coeur,Tazewell,ELEMENTARY,MEDIUM,2.79,6795103.0,5671489.0,440157.0,1755265.0,3327674.0,761953.0
530900850020000,District,Robein SD 85,East Peoria,Tazewell,ELEMENTARY,SMALL,4.47,1718474.0,1454227.0,140328.0,1328727.0,189217.0,98090.0
530900860020000,District,East Peoria SD 86,East Peoria,Tazewell,ELEMENTARY,MEDIUM,3.26,19412393.0,13484793.0,925292.0,14994000.0,1678570.0,1349972.0
530900980020000,District,Rankin CSD 98,Pekin,Tazewell,ELEMENTARY,SMALL,3.67,3114054.0,2091846.0,232990.0,2220366.0,330072.0,125759.0
530901020020000,District,N Pekin & Marquette Hght SD 102,Marquette Heights,Tazewell,ELEMENTARY,MEDIUM,2.93,5256634.0,4399525.0,337994.0,2099337.0,2146272.0,349314.0
530901080020000,District,Pekin PSD 108,Pekin,Tazewell,ELEMENTARY,LARGE,3.17,36002663.0,29185174.0,1042612.0,19017103.0,8059125.0,3223773.0
530901370020000,District,South Pekin SD 137,South Pekin,Tazewell,ELEMENTARY,SMALL,3.16,2180568.0,1813539.0,133308.0,477880.0,1309868.0,270770.0
530903030160000,District,Pekin CSD 303,Pekin,Tazewell,HIGH SCHOOL,MEDIUM,2.15,29352910.0,15055926.0,1394297.0,17314323.0,2442050.0,1216032.0
530903080160000,District,Washington CHSD 308,Washington,Tazewell,HIGH SCHOOL,MEDIUM,2.64,17043953.0,13202980.0,489115.0,12930826.0,2422945.0,323105.0
530903090160000,District,East Peoria CHSD 309,East Peoria,Tazewell,HIGH SCHOOL,MEDIUM,2.07,16018152.0,11630360.0,491257.0,11025822.0,913142.0,726075.0
530906060040000,District,Spring Lake CCSD 606,Manito,Tazewell,ELEMENTARY,SMALL,3.7,748833.0,630252.0,92350.0,455922.0,224769.0,68690.0
530907010260000,District,Deer Creek-Mackinaw CUSD 701,Mackinaw,Tazewell,UNIT,MEDIUM,5.39,10983780.0,7841695.0,562147.0,6107265.0,3043542.0,347620.0
530907020260000,District,Tremont CUSD 702,Tremont,Tazewell,UNIT,MEDIUM,5.12,9925249.0,7231127.0,303187.0,5961236.0,1987653.0,274022.0
530907030260000,District,Delavan CUSD 703,Delavan,Tazewell,UNIT,SMALL,5.98,10080848.0,4126444.0,314056.0,3571388.0,910633.0,471164.0
530907090260000,District,Morton CUSD 709,Morton,Tazewell,UNIT,LARGE,4.97,39874643.0,24510974.0,1113359.0,28732198.0,1317667.0,1057846.0
531020010040000,District,Metamora CCSD 1,Metamora,Woodford,ELEMENTARY,MEDIUM,2.74,7216130.0,5241630.0,326554.0,4538631.0,1505930.0,364300.0
531020020040000,District,Riverview CCSD 2,East Peoria,Woodford,ELEMENTARY,SMALL,2.95,2280362.0,1572142.0,206459.0,1342581.0,396995.0,147949.0
531020060260000,District,Fieldcrest CUSD 6,Minonk,Woodford,UNIT,MEDIUM,5.23,12420699.0,9473641.0,477753.0,8151512.0,2229110.0,837677.0
531020110260000,District,El Paso-Gridley CUSD 11,El Paso,Woodford,UNIT,MEDIUM,5.51,15617639.0,9938686.0,671271.0,9138041.0,2106368.0,585323.0
531020210260000,District,Lowpoint-Washburn CUSD 21,Washburn,Woodford,UNIT,SMALL,5.71,4507949.0,3221145.0,364209.0,2888307.0,854064.0,283031.0
531020600260000,District,Roanoke Benson CUSD 60,Roanoke,Woodford,UNIT,MEDIUM,6.11,6358123.0,4594821.0,424486.0,5112158.0,728808.0,295315.0
531020690020000,District,Germantown Hills SD 69,Germantown Hills,Woodford,ELEMENTARY,MEDIUM,3.36,13059361.0,5449323.0,475499.0,5361653.0,1730731.0,341292.0
531021220170000,District,County of Woodford School,Metamora,Woodford,HIGH SCHOOL,MEDIUM,2.68,13119752.0,9240086.0,497085.0,9968775.0,1910885.0,425169.0
531021400260000,District,Eureka CUD 140,Eureka,Woodford,UNIT,MEDIUM,5.09,15548644.0,12070181.0,695288.0,10915274.0,3223582.0,695193.0
540920010260000,District,Bismarck Henning CUSD,Bismarck,Vermilion,UNIT,MEDIUM,5.35,8068255.0,6054638.0,552452.0,4223423.0,2397090.0,242378.0
540920020260000,District,Westville CUSD 2,Westville,Vermilion,UNIT,MEDIUM,5.55,11793360.0,8343746.0,621414.0,2637904.0,6174952.0,1036518.0
540920040260000,District,Georgetown-Ridge Farm CUD 4,Georgetown,Vermilion,UNIT,MEDIUM,5.72,11515311.0,7432798.0,758385.0,3686402.0,4967814.0,1108420.0
540920070260000,District,Rossville-Alvin CUSD 7,Rossville,Vermilion,UNIT,SMALL,5.54,4195906.0,3218262.0,341193.0,2165360.0,1527217.0,223052.0
540920100260000,District,Potomac CUSD 10,Potomac,Vermilion,UNIT,SMALL,5.16,2177705.0,1743620.0,219293.0,1084022.0,924400.0,133325.0
540920110260000,District,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,5.18,13607033.0,11787839.0,539343.0,4287744.0,5999434.0,1261336.0
540920610030000,District,Armstrong-Ellis Cons SD 61,Armstrong,Vermilion,ELEMENTARY,SMALL,2.77,1438979.0,997908.0,190970.0,1219671.0,70521.0,70487.0
540920760260000,District,Oakwood CUSD 76,Oakwood,Vermilion,UNIT,MEDIUM,5.35,9190614.0,6246115.0,628589.0,4487062.0,3420620.0,436967.0
540921180240000,District,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,5.71,74214082.0,54746649.0,2754001.0,22707301.0,31593646.0,10767119.0
540922250170000,District,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,2.34,2010301.0,1401504.0,188852.0,1637193.0,22543.0,76519.0
540925120260000,District,Salt Fork Community Unit District  512,Catlin,Vermilion,UNIT,MEDIUM,5.46,8934949.0,6579189.0,748439.0,5444155.0,2267744.0,510369.0
560990170020000,District,Channahon SD 17,Channahon,Will,ELEMENTARY,MEDIUM,2.73,14450418.0,10813286.0,519057.0,17758585.0,354377.0,96157.0
560990810020000,District,Union SD 81,Joliet,Will,ELEMENTARY,SMALL,3.45,4080627.0,2907410.0,335621.0,3139274.0,97404.0,152120.0
560990840020000,District,Rockdale SD 84,Rockdale,Will,ELEMENTARY,MEDIUM,1.5,3571583.0,2983746.0,287209.0,2544974.0,562159.0,396909.0
560990860050000,District,Joliet PSD 86,Joliet,Will,ELEMENTARY,LARGE,4.64,137889601.0,102774432.0,3301867.0,40797247.0,71095397.0,15805289.0
560990880020000,District,Chaney-Monge SD 88,Crest Hill,Will,ELEMENTARY,MEDIUM,3.47,5215846.0,4239048.0,234887.0,2141904.0,1925907.0,657117.0
560990890020000,District,Fairmont SD 89,Lockport,Will,ELEMENTARY,MEDIUM,5.34,5413964.0,4345794.0,364353.0,2918212.0,1250669.0,470536.0
560990900020000,District,Taft SD 90,Lockport,Will,ELEMENTARY,MEDIUM,3.8,3393990.0,2607831.0,187804.0,2152502.0,787682.0,256311.0
560990910020000,District,Lockport SD 91,Lockport,Will,ELEMENTARY,MEDIUM,4.22,7270273.0,5415845.0,334652.0,5659741.0,720407.0,355799.0
560990920020000,District,Will County SD 92,Lockport,Will,ELEMENTARY,MEDIUM,3.18,30226808.0,18615009.0,725238.0,22231846.0,728969.0,1102169.0
560991140020000,District,Manhattan SD 114,Manhattan,Will,ELEMENTARY,MEDIUM,4.26,14293693.0,10141380.0,484681.0,10366754.0,2846323.0,580347.0
560991220020000,District,New Lenox SD 122,New Lenox,Will,ELEMENTARY,LARGE,4.05,60524631.0,40314853.0,1277574.0,49241868.0,2916269.0,1673480.0
560991590020000,District,Mokena SD 159,Mokena,Will,ELEMENTARY,MEDIUM,2.99,22009544.0,13240134.0,592663.0,15904648.0,729746.0,901756.0
560991610020000,District,Summit Hill SD 161,Frankfort,Will,ELEMENTARY,LARGE,4.16,39926956.0,26808136.0,916103.0,34057314.0,1501528.0,945169.0
560992020220000,District,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,6.24,343576665.0,205742748.0,3937746.0,182303795.0,74795369.0,10919168.0
560992030040000,District,Elwood CCSD 203,Elwood,Will,ELEMENTARY,MEDIUM,2.78,4738114.0,3676788.0,328245.0,2537511.0,215310.0,856159.0
560992040170000,District,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,2.87,97717494.0,65883339.0,4075586.0,83829258.0,8655591.0,6038208.0
560992050170000,District,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,2.08,55975801.0,40338936.0,1268509.0,46669232.0,1907682.0,1646604.0
560992100160000,District,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,2.16,97832119.0,62442994.0,2640820.0,76385863.0,5265772.0,1800715.0
07016113A020000,District,Lemont-Bromberek CSD 113A,Lemont,Cook,ELEMENTARY,LARGE,2.47,25597908.0,16898362.0,774448.0,24670359.0,816993.0,972296.0
11012002C260000,District,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,3.74,11123425.0,8742938.0,1271830.0,4334997.0,4906130.0,881171.0
11012003C260000,District,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,4.56,3962364.0,2887772.0,464006.0,1434806.0,1795337.0,659482.0
11012004C260000,District,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,4.7,9435027.0,5736753.0,664963.0,3677212.0,3458538.0,824580.0
11087003A260000,District,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,5.07,3865393.0,2999844.0,322162.0,1141377.0,2081125.0,493515.0
11087005A260000,District,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,4.6,3626798.0,2002235.0,341493.0,1656083.0,1139179.0,291191.0
17053006J260000,District,Tri Point CUSD 6-J,Kempton,Livingston,UNIT,SMALL,5.73,5559787.0,3634198.0,437047.0,3943740.0,492247.0,321752.0
24032002C020000,District,Mazon-Verona-Kinsman ESD 2C,Mazon,Grundy,ELEMENTARY,MEDIUM,3.79,4642649.0,3060044.0,323073.0,3699285.0,197734.0,181067.0
24032024C040000,District,Nettle Creek CCSD 24C,Morris,Grundy,ELEMENTARY,SMALL,3.11,1670006.0,895007.0,151853.0,1258857.0,30185.0,27994.0
24032060C040000,District,Saratoga CCSD 60C,Morris,Grundy,ELEMENTARY,MEDIUM,2.96,8348314.0,5283951.0,472733.0,5284902.0,741462.0,329026.0
24032072C040000,District,Gardner CCSD 72C,Gardner,Grundy,ELEMENTARY,SMALL,2.85,2152753.0,1546783.0,153689.0,649960.0,775356.0,149690.0
51084003A260000,District,Rochester CUSD 3A,Rochester,Sangamon,UNIT,LARGE,4.52,21393685.0,15018732.0,919014.0,11785779.0,6187063.0,1178572.0
56099030C040000,District,Troy CCSD 30C,Plainfield,Will,ELEMENTARY,LARGE,4.25,57100514.0,36973669.0,1122059.0,42985047.0,3090302.0,1834889.0
56099033C040000,District,Homer CCSD 33C,Homer Glen,Will,ELEMENTARY,LARGE,4.2,45573372.0,36271271.0,1481727.0,40423371.0,1739982.0,1015448.0
56099070C040000,District,Laraway CCSD 70C,Joliet,Will,ELEMENTARY,MEDIUM,2.68,12233711.0,6658084.0,467841.0,8181342.0,872341.0,575145.0
56099088A020000,District,Richland GSD 88A,Crest Hill,Will,ELEMENTARY,MEDIUM,3.56,11602528.0,7805368.0,516264.0,9287212.0,710401.0,500343.0
56099157C040000,District,Frankfort CCSD 157C,Frankfort,Will,ELEMENTARY,LARGE,4.04,31290757.0,20622659.0,698172.0,30479264.0,992990.0,887800.0
56099200U260000,District,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,6.94,12013494.0,8111092.0,241311.0,10173066.0,1445499.0,356835.0
56099201U260000,District,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,8.63,81581856.0,51129825.0,1762740.0,48132481.0,12961928.0,4672336.0
56099207U260000,District,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,4.63,21225430.0,12507512.0,641779.0,16114818.0,876450.0,644859.0
56099209U260000,District,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,4.68,18288571.0,12289373.0,459145.0,10113226.0,2092655.0,2594452.0
56099255U260000,District,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,3.89,41320015.0,17942896.0,829057.0,23739445.0,772564.0,1080635.0
56099365U260000,District,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,7.54,275074739.0,185576657.0,5433914.0,175243384.0,36099150.0,15379670.0
