RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
440630150040000,District,McHenry CCSD 15,McHenry,McHenry,ELEMENTARY,LARGE,5.95,73123377.0,48123452.0,1433315.0,52230808.0,6840340.0,3672195.0
440630180040000,District,Riley CCSD 18,Marengo,McHenry,ELEMENTARY,MEDIUM,3.97,4851526.0,2936999.0,231409.0,3912987.0,153557.0,211856.0
440630190240000,District,Alden Hebron SD 19,Hebron,McHenry,UNIT,SMALL,5.86,5460368.0,4285295.0,266733.0,4415646.0,375537.0,346329.0
440630260040000,District,Cary CCSD 26,Cary,McHenry,ELEMENTARY,LARGE,4.62,30370727.0,19931457.0,896887.0,25110209.0,1867986.0,1250146.0
440630360020000,District,Harrison SD 36,Wonder Lake,McHenry,ELEMENTARY,MEDIUM,6.22,6735632.0,3882892.0,301659.0,3505599.0,1232641.0,295970.0
440630460030000,District,Prairie Grove CSD 46,Crystal Lake,McHenry,ELEMENTARY,MEDIUM,4.88,11309711.0,8614547.0,749292.0,10638774.0,364995.0,309977.0
440630470040000,District,Crystal Lake CCSD 47,Crystal Lake,McHenry,ELEMENTARY,LARGE,4.56,96877873.0,69030563.0,1775116.0,72929957.0,8828549.0,4244801.0
440630500260000,District,Harvard CUSD 50,Harvard,McHenry,UNIT,LARGE,7.35,31311933.0,24443431.0,1102053.0,15673786.0,10260830.0,3242013.0
440631540160000,District,Marengo CHSD 154,Marengo,McHenry,HIGH SCHOOL,MEDIUM,3.37,13794666.0,9152313.0,542091.0,10599409.0,780847.0,692509.0
440631550160000,District,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,3.03,106308433.0,80311423.0,1793593.0,74601795.0,12157860.0,2595553.0
510652000260000,District,Greenview CUSD 200,Greenview,Menard,UNIT,SMALL,4.76,2533644.0,2048973.0,181552.0,1922238.0,513764.0,162205.0
440631560160000,District,McHenry CHSD 156,McHenry,McHenry,HIGH SCHOOL,MEDIUM,2.94,34705726.0,24925121.0,1041266.0,27226605.0,4029366.0,1197463.0
440631570160000,District,Richmond-Burton CHSD 157,Richmond,McHenry,HIGH SCHOOL,MEDIUM,3.79,13770905.0,8325755.0,719000.0,11815771.0,1899020.0,212678.0
440631580220000,District,Huntley Community School District 158,Algonquin,McHenry,UNIT,LARGE,5.95,108038187.0,74788345.0,1655728.0,69596306.0,21853750.0,3314966.0
440631650030000,District,Marengo-Union E Cons D 165,Marengo,McHenry,ELEMENTARY,MEDIUM,3.43,10086204.0,7510680.0,513299.0,7597272.0,1300214.0,765854.0
440632000260000,District,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,8.17,91582117.0,64430265.0,1653802.0,59905131.0,15887667.0,4510837.0
450670030260000,District,Valmeyer CUSD 3,Valmeyer,Monroe,UNIT,SMALL,4.56,5290156.0,3285334.0,212848.0,2767727.0,864677.0,209213.0
450670040260000,District,Columbia CUSD 4,Columbia,Monroe,UNIT,LARGE,4.65,19822053.0,12320188.0,845490.0,14848811.0,2586445.0,783641.0
450670050260000,District,Waterloo CUSD 5,Waterloo,Monroe,UNIT,LARGE,4.3,70208951.0,16286872.0,1629872.0,17990784.0,3508427.0,970898.0
450790010220000,District,Coulterville USD 1,Coulterville,Randolph,UNIT,SMALL,5.0,2207863.0,1748514.0,207500.0,781881.0,1037824.0,202565.0
450791320260000,District,Red Bud CUSD 132,Red Bud,Randolph,UNIT,MEDIUM,3.32,12846551.0,7568046.0,685462.0,10236782.0,547541.0,680791.0
450791340040000,District,Prairie Du Rocher CCSD 134,Prairie Du Rocher,Randolph,ELEMENTARY,SMALL,3.02,1686458.0,1331075.0,89037.0,391954.0,714793.0,168087.0
450791380260000,District,Steeleville CUSD 138,Steeleville,Randolph,UNIT,SMALL,3.93,4650462.0,3203399.0,125169.0,1616049.0,1483286.0,261593.0
450791390260000,District,Chester CUSD 139,Chester,Randolph,UNIT,MEDIUM,3.94,11008390.0,7031279.0,358906.0,3422018.0,3459717.0,728126.0
450791400260000,District,Sparta CUSD 140,Sparta,Randolph,UNIT,MEDIUM,4.87,17332099.0,9496963.0,519794.0,5106600.0,4622119.0,951671.0
470521700220000,District,Dixon USD 170,Dixon,Lee,UNIT,LARGE,4.6,30540105.0,20815007.0,1603002.0,17911199.0,4512064.0,1629367.0
470522200020000,District,Steward ESD 220,Steward,Lee,ELEMENTARY,SMALL,3.47,1153643.0,780988.0,243365.0,938324.0,35327.0,38016.0
470522710260000,District,Paw Paw CUSD 271,Paw Paw,Lee,UNIT,SMALL,6.47,3153378.0,2064139.0,275732.0,2734367.0,223511.0,125444.0
470522720260000,District,Amboy CUSD 272,Amboy,Lee,UNIT,MEDIUM,5.01,8457495.0,6569569.0,814042.0,6998832.0,588912.0,354716.0
470522750260000,District,Ashton-Franklin Center CUSD 275,Ashton,Lee,UNIT,MEDIUM,5.47,6343200.0,4030197.0,499494.0,5144414.0,506261.0,122278.0
470711440030000,District,Kings Cons SD 144,Kings,Ogle,ELEMENTARY,SMALL,4.62,1382542.0,977475.0,131114.0,1314334.0,98619.0,83318.0
470711610040000,District,Creston CCSD 161,Creston,Ogle,ELEMENTARY,SMALL,3.79,1352685.0,916051.0,360093.0,1402121.0,88366.0,68334.0
470712120170000,District,Rochelle Twp HSD 212,Rochelle,Ogle,HIGH SCHOOL,MEDIUM,2.56,14768929.0,9164830.0,1325520.0,12044334.0,1715833.0,282706.0
470712200260000,District,Oregon CUSD 220,Oregon,Ogle,UNIT,MEDIUM,5.52,17072750.0,11598378.0,1966519.0,12174117.0,2751213.0,873936.0
470712210260000,District,Forrestville Valley CUSD 221,Forreston,Ogle,UNIT,MEDIUM,5.78,10523201.0,5439875.0,791708.0,6566345.0,1880373.0,311528.0
470712220260000,District,Polo CUSD 222,Polo,Ogle,UNIT,MEDIUM,5.13,6772661.0,4196701.0,672993.0,4649287.0,1350457.0,343685.0
470712230260000,District,Meridian CUSD 223,Stillman Valley,Ogle,UNIT,MEDIUM,6.08,25511636.0,11930789.0,1138636.0,11369520.0,5693471.0,509999.0
470712260260000,District,Byron CUSD 226,Byron,Ogle,UNIT,MEDIUM,3.97,30082178.0,17711677.0,2368942.0,27183876.0,442301.0,793724.0
470712310040000,District,Rochelle CCSD 231,Rochelle,Ogle,ELEMENTARY,MEDIUM,3.3,18631006.0,13084623.0,984909.0,11283371.0,4264600.0,1581962.0
470712690040000,District,Eswood CCSD 269,Lindenwood,Ogle,ELEMENTARY,SMALL,3.36,1209113.0,885032.0,213434.0,1049002.0,74776.0,183237.0
470980010260000,District,Erie CUSD 1,Erie,Whiteside,UNIT,MEDIUM,2.81,12050979.0,9959781.0,488916.0,11064691.0,223371.0,363404.0
470980020260000,District,River Bend CUSD 2,Fulton,Whiteside,UNIT,MEDIUM,4.85,10635517.0,6806886.0,648527.0,5329938.0,2263815.0,472094.0
470980030260000,District,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown,Whiteside,UNIT,MEDIUM,4.95,9000226.0,6454015.0,313376.0,4700710.0,2318369.0,414629.0
470980050260000,District,Sterling CUSD 5,Sterling,Whiteside,UNIT,LARGE,4.73,37191579.0,24214900.0,941133.0,15933212.0,10000420.0,2421592.0
470980060260000,District,Morrison CUSD 6,Morrison,Whiteside,UNIT,MEDIUM,4.89,10749780.0,7609641.0,555087.0,5829857.0,2693451.0,305688.0
470980130020000,District,Rock Falls ESD 13,Rock Falls,Whiteside,ELEMENTARY,MEDIUM,2.93,10549323.0,7848756.0,481197.0,2069974.0,6028347.0,965817.0
470980200020000,District,East Coloma - Nelson CESD 20,Rock Falls,Whiteside,ELEMENTARY,SMALL,3.46,3795911.0,2330456.0,304479.0,1920459.0,666238.0,153769.0
470981450040000,District,Montmorency CCSD 145,Rock Falls,Whiteside,ELEMENTARY,MEDIUM,3.62,2686345.0,1956647.0,303396.0,1441374.0,831566.0,128651.0
470983010170000,District,Rock Falls Twp HSD 301,Rock Falls,Whiteside,HIGH SCHOOL,SMALL,3.57,10890239.0,6323811.0,952894.0,5684495.0,2309483.0,347855.0
480720620020000,District,Pleasant Valley SD 62,Peoria,Peoria,ELEMENTARY,MEDIUM,2.82,5089657.0,4163769.0,297397.0,1302723.0,2661589.0,777087.0
