RCDTS,Type,District,School Type,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Teacher Retention Rate,# of 12 graders who took advanced Courses,Avg Number of days of Physical Education Per Week Per Student,Community College Remediation %,Avg Class Size - High School,Chronic Absenteeism,Number of students who took AP Exams Grade 10,Number of students who passed AP Exams Grade 12,Chronic Absenteeism - Low Income,Low Income Count
540925120260001,School,Salt Fork Community Unit District  512,HIGH SCHOOL,Catlin,Vermilion,UNIT,MEDIUM,268.0,37.7,19.0,86.2,30.0,5.0,13.9,19.0,11.0,,,17.8,101.036
540928000800001,School,Bismarck Henning Rossville Alvin Cooperative High School,HIGH SCHOOL,Bismarck,Vermilion,,,342.0,33.0,16.0,,24.0,4.0,,16.0,10.5,,,22.8,112.86
560992020220001,School,Plainfield SD 202,HIGH SCHOOL,Plainfield,Will,UNIT,LARGE,2066.0,31.8,20.0,91.0,284.0,5.0,44.9,20.0,26.0,31.0,295.0,39.7,656.988
560992020220002,School,Plainfield SD 202,HIGH SCHOOL,Plainfield,Will,UNIT,LARGE,2521.0,27.6,25.0,88.6,425.0,5.0,48.6,25.0,21.8,62.0,457.0,31.1,695.796
560992020220003,School,Plainfield SD 202,HIGH SCHOOL,Plainfield,Will,UNIT,LARGE,2322.0,13.8,22.0,88.1,360.0,5.0,40.6,22.0,17.2,117.0,381.0,31.4,320.43600000000004
560992020220004,School,Plainfield SD 202,HIGH SCHOOL,Plainfield,Will,UNIT,LARGE,2250.0,28.2,22.0,88.4,344.0,5.0,51.6,22.0,21.2,89.0,485.0,28.3,634.4999999999999
560992040170001,School,Joliet Twp HSD 204,HIGH SCHOOL,Joliet,Will,HIGH SCHOOL,LARGE,3239.0,73.4,22.0,92.0,239.0,5.0,64.8,22.0,38.3,46.0,279.0,43.2,2377.4260000000004
560992040170003,School,Joliet Twp HSD 204,HIGH SCHOOL,Joliet,Will,HIGH SCHOOL,LARGE,3310.0,47.9,24.0,92.6,254.0,5.0,56.1,24.0,30.9,109.0,386.0,42.5,1585.49
560992050170001,School,Lockport Twp HSD 205,HIGH SCHOOL,Lockport,Will,HIGH SCHOOL,LARGE,3706.0,17.6,22.0,93.1,649.0,5.0,49.8,22.0,11.2,192.0,677.0,30.3,652.2560000000001
560992100160001,School,Lincoln Way CHSD 210,HIGH SCHOOL,New Lenox,Will,HIGH SCHOOL,LARGE,2138.0,7.5,20.0,89.8,372.0,5.0,41.6,20.0,22.6,148.0,749.0,0.0,160.35
560992100160002,School,Lincoln Way CHSD 210,HIGH SCHOOL,Frankfort,Will,HIGH SCHOOL,LARGE,2889.0,5.1,21.0,86.2,475.0,5.0,39.4,21.0,23.9,198.0,1301.0,0.0,147.339
560992100160004,School,Lincoln Way CHSD 210,HIGH SCHOOL,New Lenox,Will,HIGH SCHOOL,LARGE,1905.0,8.5,20.0,90.0,290.0,5.0,37.2,20.0,19.3,138.0,500.0,0.0,161.925
601054280303014,School,IDJJ Sch Dist 428,HIGH SCHOOL,Saint Charles,Dept Of Corrections,,,63.0,63.5,,68.2,,,,,,,,,40.005
601054280303015,School,IDJJ Sch Dist 428,HIGH SCHOOL,Grafton,Dept Of Corrections,,,26.0,96.2,,81.8,,,,,,,,,25.012
601054280303019,School,IDJJ Sch Dist 428,HIGH SCHOOL,Warrenville,Dept Of Corrections,,,28.0,100.0,,88.0,,,,,,,,,28.0
601054280303028,School,IDJJ Sch Dist 428,HIGH SCHOOL,Harrisburg,Dept Of Corrections,,,88.0,97.7,,80.4,,,,,,,,,85.976
601054280303050,School,IDJJ Sch Dist 428,HIGH SCHOOL,Chicago,Dept Of Corrections,,,59.0,98.3,,69.2,,,,,,,,,57.997
651089010800001,School,ISU  Laboratory Schools,HIGH SCHOOL,Normal,State Of Illinois,,,612.0,2.3,,89.3,100.0,,25.8,,,31.0,288.0,,14.076
651089020800001,School,University of Ill Lab School,HIGH SCHOOL,Urbana,State Of Illinois,,,290.0,8.6,,,,,0.0,,,10.0,90.0,,24.939999999999998
651089030800001,School,Il Mathematics & Science Academy,HIGH SCHOOL,Aurora,State Of Illinois,,,627.0,15.2,,,,,9.1,,,77.0,483.0,,95.304
11012002C260001,School,Marshall CUSD 2C,HIGH SCHOOL,Marshall,Clark,UNIT,MEDIUM,391.0,26.6,13.0,94.7,59.0,5.0,38.5,13.0,4.2,,,10.7,104.006
11012003C260001,School,Martinsville CUSD 3C,HIGH SCHOOL,Martinsville,Clark,UNIT,SMALL,172.0,60.5,13.0,77.1,,5.0,44.4,12.0,16.2,,,24.4,104.06
11012004C260001,School,Casey-Westfield CUSD 4C,HIGH SCHOOL,Casey,Clark,UNIT,MEDIUM,390.0,46.2,16.0,84.5,37.0,5.0,36.7,15.0,13.9,,,19.6,180.18
11087003A260001,School,Cowden-Herrick CUSD 3A,HIGH SCHOOL,Cowden,Shelby,UNIT,SMALL,205.0,62.0,15.0,91.3,12.0,5.0,46.2,14.0,12.2,,,4.3,127.1
11087005A260001,School,Stewardson-Strasburg CUD 5A,HIGH SCHOOL,Strasburg,Shelby,UNIT,SMALL,105.0,32.4,11.0,92.9,13.0,5.0,20.0,11.0,9.5,,,21.9,34.02
17053006J260001,School,Tri Point CUSD 6-J,HIGH SCHOOL,Cullom,Livingston,UNIT,SMALL,104.0,53.8,8.0,88.9,12.0,5.0,26.7,8.0,18.1,,,31.3,55.95199999999999
51084003A260001,School,Rochester CUSD 3A,HIGH SCHOOL,Rochester,Sangamon,UNIT,LARGE,766.0,10.3,24.0,88.0,121.0,3.0,29.3,24.0,8.6,,,19.0,78.89800000000001
56099200U260001,School,Beecher CUSD 200U,HIGH SCHOOL,Beecher,Will,UNIT,MEDIUM,323.0,24.5,14.0,80.3,37.0,4.0,45.5,14.0,14.6,13.0,31.0,18.6,79.135
56099201U260001,School,Crete Monee CUSD 201U,HIGH SCHOOL,Crete,Will,UNIT,LARGE,1638.0,67.4,23.0,72.9,253.0,5.0,47.0,23.0,30.4,35.0,51.0,35.5,1104.0120000000002
56099207U260001,School,Peotone CUSD 207U,HIGH SCHOOL,Peotone,Will,UNIT,MEDIUM,493.0,19.3,16.0,75.5,54.0,4.0,42.6,16.0,8.0,,52.0,14.0,95.149
56099209U260001,School,Wilmington CUSD 209U,HIGH SCHOOL,Wilmington,Will,UNIT,MEDIUM,465.0,36.6,19.0,89.4,72.0,3.0,61.8,19.0,14.4,,,21.0,170.19
56099255U260001,School,Reed Custer CUSD 255U,HIGH SCHOOL,Braidwood,Will,UNIT,MEDIUM,477.0,32.7,22.0,83.8,85.0,4.0,41.0,22.0,8.3,,18.0,1.3,155.979
56099365U260007,School,Valley View CUSD 365U,HIGH SCHOOL,Bolingbrook,Will,UNIT,LARGE,3550.0,59.4,19.0,90.0,410.0,5.0,45.1,19.0,32.5,261.0,511.0,39.5,2108.7
56099365U260008,School,Valley View CUSD 365U,HIGH SCHOOL,Romeoville,Will,UNIT,LARGE,1920.0,59.1,20.0,91.3,376.0,5.0,56.0,20.0,28.5,169.0,297.0,33.9,1134.72
