RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
030250400260000,Effingham,400,Effingham CUSD 40,Effingham,508.6,500.0
030250400260001,Effingham,400,Effingham High School,Effingham,509.7,501.8
030250500260000,Effingham,500,Teutopolis CUSD 50,Teutopolis,537.6,553.0
030250500260001,Effingham,500,Teutopolis High School,Teutopolis,537.6,553.0
030262010260000,Fayette,2010,Brownstown CUSD 201,Brownstown,442.1,425.3
030262010260003,Fayette,2010,Brownstown High School,Brownstown,442.1,425.3
030262020260000,Fayette,2020,St Elmo CUSD 202,Saint Elmo,461.5,448.1
030262020260002,Fayette,2020,St Elmo Sr High School,Saint Elmo,461.5,448.1
030262030260000,Fayette,2030,Vandalia CUSD 203,Vandalia,470.7,461.9
030262030260001,Fayette,2030,Vandalia Community High School,Vandalia,471.3,461.8
030262040260000,Fayette,2040,Ramsey CUSD 204,Ramsey,456.1,432.1
030262040260002,Fayette,2040,Ramsey High School,Ramsey,456.1,432.1
030680020260000,Montgomery,20,Panhandle CUSD 2,Raymond,483.8,460.0
030680020260001,Montgomery,20,Lincolnwood High School,Raymond,483.8,460.0
030680030260000,Montgomery,30,Hillsboro CUSD 3,Hillsboro,492.9,461.9
030680030260001,Montgomery,30,Hillsboro High School,Hillsboro,492.9,461.9
030680120260000,Montgomery,120,Litchfield CUSD 12,Litchfield,457.6,454.9
030680120260001,Montgomery,120,Litchfield Senior High School,Litchfield,457.6,454.9
030680220260000,Montgomery,220,Nokomis CUSD 22,Nokomis,479.5,472.7
030680220260001,Montgomery,220,Nokomis Jr/Sr High Sch,Nokomis,479.5,472.7
040041000260000,Boone,1000,Belvidere CUSD 100,Belvidere,495.1,480.9
040041000260001,Boone,1000,Belvidere High School,Belvidere,483.6,465.5
040041000260002,Boone,1000,Belvidere North High Sch,Belvidere,505.3,494.7
040042000260000,Boone,2000,North Boone CUSD 200,Poplar Grove,512.5,496.0
040042000260003,Boone,2000,North Boone High School,Poplar Grove,512.5,496.0
041011220220000,Winnebago,1220,Harlem UD 122,Machesney Park,495.0,470.0
041011220220002,Winnebago,1220,Harlem High School,Machesney Park,495.0,470.0
041012050250000,Winnebago,2050,Rockford SD 205,Rockford,465.5,450.6
041012050250001,Winnebago,2050,Auburn High School,Rockford,510.6,501.8
041012050250002,Winnebago,2050,Rockford East High School,Rockford,464.5,445.1
041012050250003,Winnebago,2050,Guilford High School,Rockford,465.2,447.6
041012050250004,Winnebago,2050,Jefferson High School,Rockford,454.1,443.8
041012070160000,Winnebago,2070,Hononegah CHD 207,Rockton,559.8,549.4
041012070160001,Winnebago,2070,Hononegah High School,Rockton,560.5,550.2
041013200260000,Winnebago,3200,County of Winnebago SD 320,South Beloit,495.5,497.8
041013200260001,Winnebago,3200,South Beloit Sr High School,South Beloit,495.5,497.8
041013210260000,Winnebago,3210,Pecatonica CUSD 321,Pecatonica,531.7,528.6
041013210260001,Winnebago,3210,Pecatonica High School,Pecatonica,528.6,525.0
041013220260000,Winnebago,3220,Durand CUSD 322,Durand,494.8,473.6
041013220260001,Winnebago,3220,Durand High School,Durand,496.1,474.1
041013230260000,Winnebago,3230,Winnebago CUSD 323,Winnebago,524.0,518.7
041013230260001,Winnebago,3230,Winnebago High School,Winnebago,524.0,518.7
050162020170000,Cook,2020,Evanston Twp HSD 202,Evanston,552.4,551.6
050162020170001,Cook,2020,Evanston Twp High School,Evanston,553.3,553.5
050162030170000,Cook,2030,New Trier Twp HSD 203,Northfield,615.3,619.7
050162030170001,Cook,2030,New Trier Township H S Winnetka,Winnetka,615.7,620.2
050162070170000,Cook,2070,Maine Township HSD 207,Park Ridge,531.3,539.4
050162070170001,Cook,2070,Maine East High School,Park Ridge,500.7,504.0
050162070170003,Cook,2070,Maine South High School,Park Ridge,573.0,586.9
050162070170004,Cook,2070,Maine West High School,Des Plaines ,507.5,514.5
050162110170000,Cook,2110,Township HSD 211,Palatine,537.2,555.6
050162110170001,Cook,2110,J B Conant High School,Hoffman Estates,542.7,568.2
050162110170002,Cook,2110,Wm Fremd High School,Palatine,586.8,609.7
050162110170003,Cook,2110,Palatine High School,Palatine,504.9,513.0
050162110170004,Cook,2110,Schaumburg High School,Schaumburg,535.7,562.6
050162110170006,Cook,2110,Hoffman Estates High School,Hoffman Estates,510.2,520.3
050162140170000,Cook,2140,Township HSD 214,Arlington Heights,544.6,553.4
050162140170002,Cook,2140,Elk Grove High School,Elk Grove Village,517.4,530.9
050162140170004,Cook,2140,John Hersey High School,Arlington Heights,589.4,593.2
050162140170005,Cook,2140,Prospect High School,Mt Prospect,584.2,589.5
050162140170006,Cook,2140,Wheeling High School,Wheeling,506.5,518.8
050162140170007,Cook,2140,Rolling Meadows High School,Rolling Meadows,539.8,545.4
050162140170008,Cook,2140,Buffalo Grove High School,Buffalo Grove,542.7,560.0
050162190170000,Cook,2190,Niles Twp HSD 219,Skokie,529.9,535.3
050162190170002,Cook,2190,Niles North High School,Skokie,534.8,537.3
050162190170003,Cook,2190,Niles West High School,Skokie,528.8,537.3
050162250170000,Cook,2250,Northfield Twp HSD 225,Glenview,590.6,599.3
050162250170001,Cook,2250,Glenbrook North High School,Northbrook,605.4,619.6
050162250170002,Cook,2250,Glenbrook South High School,Glenview,584.9,591.0
060162000130000,Cook,2000,Oak Park - River Forest SD 200,Oak Park,570.0,560.4
060162000130001,Cook,2000,Oak Park & River Forest High Sch,Oak Park,570.7,562.6
060162010170000,Cook,2010,J S Morton HSD 201,Cicero,450.5,423.1
060162010170001,Cook,2010,J Sterling Morton East High Sch,Cicero,445.7,422.1
060162010170002,Cook,2010,J Sterling Morton West High Sch,Berwyn,457.7,425.3
060162040170000,Cook,2040,Lyons Twp HSD 204,La Grange,561.5,570.9
060162040170001,Cook,2040,Lyons Twp High Sch,La Grange,562.5,572.3
060162080170000,Cook,2080,Riverside-Brookfield Twp SD 208,Riverside,538.8,535.7
060162080170001,Cook,2080,Riverside Brookfield Twp HS,Riverside,538.3,535.4
060162090170000,Cook,2090,Proviso Twp HSD 209,Forest Park,458.7,445.3
060162090170001,Cook,2090,Proviso East High School,Maywood,424.7,407.6
060162090170002,Cook,2090,Proviso West High School,Hillside,429.5,420.8
060162090170003,Cook,2090,Proviso Math and Science Academy,Forest Park,589.9,575.2
060162120160000,Cook,2120,Leyden CHSD 212,Franklin Park,484.6,477.0
060162120160001,Cook,2120,East Leyden High School,Franklin Park,489.1,484.2
060162120160002,Cook,2120,West Leyden High School,Northlake,483.1,473.2
060162340160000,Cook,2340,Ridgewood CHSD 234,Norridge,512.7,488.2
060162340160001,Cook,2340,Ridgewood Comm High School,Norridge,514.6,489.8
060164010260000,Cook,4010,Elmwood Park CUSD 401,Elmwood Park,476.1,475.2
060164010260001,Cook,4010,Elmwood Park High School,Elmwood Park,476.1,475.2
070162050170000,Cook,2050,Thornton Twp HSD 205,South Holland,430.3,420.2
070162050170001,Cook,2050,Thornton Township High School,Harvey,440.9,427.5
070162050170002,Cook,2050,Thornridge High School,Dolton,429.9,423.4
070162050170003,Cook,2050,Thornwood High School,South Holland,436.7,429.4
070162060170000,Cook,2060,Bloom Twp HSD 206,Chicago Heights,459.9,437.1
070162060170001,Cook,2060,Bloom High School,Chicago Heights,456.8,437.7
070162060170002,Cook,2060,Bloom Trail High School,Chicago Heights,464.7,437.2
070162100170000,Cook,2100,Lemont Twp HSD 210,Lemont,551.6,558.1
070162100170001,Cook,2100,Lemont Twp High School,Lemont,553.1,560.3
070162150170000,Cook,2150,Thornton Fractional Twp HSD 215,Lansing,458.5,447.3
070162150170001,Cook,2150,Thornton Fractnl No High School,Calumet City,449.6,441.3
070162150170002,Cook,2150,Thornton Fractnl So High School,Lansing,466.0,453.2
070162170160000,Cook,2170,Argo CHSD 217,Summit,477.2,488.6
070162170160001,Cook,2170,Argo Community High School,Summit,478.0,489.4
070162180160000,Cook,2180,CHSD 218,Oak Lawn,472.1,467.6
070162180160001,Cook,2180,DD Eisenhower High Sch (Campus),Blue Island,455.4,454.2
070162180160004,Cook,2180,H L Richards High Sch(Campus),Oak Lawn,481.1,480.9
070162180160007,Cook,2180,A B Shepard High Sch (Campus),Palos Heights,491.8,483.3
070162200170000,Cook,2200,Reavis Twp HSD 220,Burbank,486.2,482.0
070162200170001,Cook,2200,Reavis High School,Burbank,486.5,482.9
070162270170000,Cook,2270,Rich Twp HSD 227,Matteson,449.6,429.3
070162270170001,Cook,2270,Rich East Campus High School,Park Forest,456.5,425.5
070162270170002,Cook,2270,Rich Central Campus High School,Olympia Fields,447.9,432.3
070162270170003,Cook,2270,Rich South Campus High School,Richton Park,449.3,434.3
070162280160000,Cook,2280,Bremen CHSD 228,Midlothian,470.6,462.9
070162280160001,Cook,2280,Bremen High School,Midlothian,462.9,459.0
070162280160002,Cook,2280,Tinley Park High School,Tinley Park,498.0,487.7
070162280160003,Cook,2280,Hillcrest High School,Country Club Hills,440.5,419.4
070162280160004,Cook,2280,Oak Forest High School,Oak Forest,492.4,495.6
070162290160000,Cook,2290,Oak Lawn CHSD 229,Oak Lawn,477.1,479.5
070162290160001,Cook,2290,Oak Lawn Comm High School,Oak Lawn,477.8,480.3
070162300130000,Cook,2300,Cons HSD 230,Orland Park,526.3,530.1
070162300130001,Cook,2300,Carl Sandburg High School,Orland Park,546.3,542.7
070162300130002,Cook,2300,Amos Alonzo Stagg High School,Palos Hills,509.1,523.4
070162300130003,Cook,2300,Victor J Andrew High School,Orland Hills,519.2,524.3
070162310160000,Cook,2310,Evergreen Park CHSD 231,Evergreen Park,507.0,505.9
070162310160001,Cook,2310,Evergreen Park High School,Evergreen Park,507.6,506.9
070162330160000,Cook,2330,Homewood Flossmoor CHSD 233,Flossmoor,512.8,493.8
070162330160001,Cook,2330,Homewood-Flossmoor High School,Flossmoor,513.1,494.1
070169010250000,Cook,9010,Southland College Prep Charter High School,Richton Park,526.6,512.2
080083080260000,Carroll,3080,Eastland CUSD 308,Lanark,488.7,492.3
080083080260001,Carroll,3080,Eastland Jr/Sr High School,Lanark,488.7,492.3
080083140260000,Carroll,3140,West Carroll CUSD 314,Mount Carroll,473.8,432.5
080083140260001,Carroll,3140,West Carroll High School,Savanna,474.9,433.7
080083990260000,Carroll,3990,Chadwick-Milledgeville CUSD 399,Chadwick,468.8,459.8
080083990260002,Carroll,3990,Milledgeville High School,Milledgeville,469.3,461.0
080431190220000,Jo Daviess,1190,East Dubuque USD 119,East Dubuque,524.3,530.7
080431190220003,Jo Daviess,1190,East Dubuque High School,East Dubuque,524.3,530.7
080431200220000,Jo Daviess,1200,Galena USD 120,Galena,522.5,509.3
080431200220002,Jo Daviess,1200,Galena High School,Galena,522.5,509.3
080432050260000,Jo Daviess,2050,Warren CUSD 205,Warren,489.2,499.2
080432050260001,Jo Daviess,2050,Warren Jr/Sr High School,Warren,489.2,499.2
080432060260000,Jo Daviess,2060,Stockton CUSD 206,Stockton,512.8,490.8
080432060260003,Jo Daviess,2060,Stockton Sr High School,Stockton,515.6,491.5
080432100260000,Jo Daviess,2100,River Ridge CUSD 210,Hanover,503.9,526.4
080432100260002,Jo Daviess,2100,River Ridge High School,Hanover,503.9,526.4
080432110260000,Jo Daviess,2110,Scales Mound CUSD 211,Scales Mound,550.9,580.0
080432110260002,Jo Daviess,2110,Scales Mound High School,Scales Mound,550.9,580.0
080891450220000,Stephenson,1450,Freeport SD 145,Freeport,484.3,447.3
080891450220001,Stephenson,1450,Freeport High School,Freeport,484.3,447.3
080892000260000,Stephenson,2000,Pearl City CUSD 200,Pearl City,544.4,541.5
080892000260001,Stephenson,2000,Pearl City High School,Pearl City,544.4,541.5
080892010260000,Stephenson,2010,Dakota CUSD 201,Dakota,509.4,510.9
080892010260001,Stephenson,2010,Dakota Jr Sr High School,Dakota,509.4,510.9
080892020260000,Stephenson,2020,Lena Winslow CUSD 202,Lena,522.0,507.6
080892020260001,Stephenson,2020,Lena-Winslow High School,Lena,522.0,507.6
080892030260000,Stephenson,2030,Orangeville CUSD 203,Orangeville,497.9,490.0
080892030260001,Stephenson,2030,Orangeville High School,Orangeville,501.9,493.7
090100010260000,Champaign,10,Fisher CUSD 1,Fisher,511.7,515.7
090100010260001,Champaign,10,Fisher Jr/Sr High School,Fisher,511.7,515.7
090100030260000,Champaign,30,Mahomet-Seymour CUSD 3,Mahomet,583.9,605.0
090100030260001,Champaign,30,Mahomet-Seymour High School,Mahomet,583.9,605.0
090100040260000,Champaign,40,Champaign CUSD 4,Champaign,511.2,514.1
090100040260001,Champaign,40,Centennial High School,Champaign,513.9,519.8
090100040260002,Champaign,40,Central High School,Champaign,518.1,521.7
090100070260000,Champaign,70,Tolono CUSD 7,Tolono,505.2,518.3
090100070260007,Champaign,70,Unity High School,Tolono,506.1,519.6
090100080260000,Champaign,80,Heritage CUSD 8,Homer,494.3,450.0
090100080260001,Champaign,80,Heritage High School,Broadlands,494.3,450.0
090101160220000,Champaign,1160,Urbana SD 116,Urbana,485.2,456.7
090101160220001,Champaign,1160,Urbana High School,Urbana,486.7,458.5
090101930170000,Champaign,1930,Rantoul Township HSD 193,Rantoul,450.8,435.8
090101930170001,Champaign,1930,Rantoul Twp High School,Rantoul,452.0,436.1
090103050160000,Champaign,3050,St Joseph Ogden CHSD 305,Saint Joseph,546.3,563.7
090103050160001,Champaign,3050,St Joseph-Ogden High School,Saint Joseph,546.3,563.7
090270050260000,Ford,50,Gibson City-Melvin-Sibley CUSD 5,Gibson City,543.2,526.7
090270050260001,Ford,50,GCMS High School,Gibson City,543.2,526.7
090270100260000,Ford,100,Paxton-Buckley-Loda CUD 10,Paxton,501.2,509.9
090270100260001,Ford,100,Paxton-Buckley-Loda High School,Paxton,502.7,511.6
110150010260000,Coles,10,Charleston CUSD 1,Charleston,513.8,498.3
110150010260001,Coles,10,Charleston High School,Charleston,513.8,498.3
110150020260000,Coles,20,Mattoon CUSD 2,Mattoon,502.1,489.5
110150020260001,Coles,20,Mattoon High School,Mattoon,504.3,491.7
110150050260000,Coles,50,Oakland CUSD 5,Oakland,513.2,472.1
110150050260002,Coles,50,Oakland High School,Oakland,517.2,480.0
110180030260000,Cumberland,30,Neoga CUSD 3,Neoga,505.8,495.0
110180030260001,Cumberland,30,Neoga Jr/Sr High School,Neoga,505.8,495.0
110180770260000,Cumberland,770,Cumberland CUSD 77,Toledo,493.3,465.4
110180770260001,Cumberland,770,Cumberland High School,Toledo,495.5,467.6
110213010260000,Douglas,3010,Tuscola CUSD 301,Tuscola,541.5,521.0
110213010260001,Douglas,3010,Tuscola High School,Tuscola,541.5,521.0
110213020260000,Douglas,3020,Villa Grove CUSD 302,Villa Grove,486.2,458.5
110213020260001,Douglas,3020,Villa Grove High School,Villa Grove,488.4,461.6
110213050260000,Douglas,3050,Arthur CUSD 305,Arthur,490.3,486.0
110213050260001,Douglas,3050,Arthur-Lovington-Atwood-Hammond High School,Arthur,490.1,487.9
110213060260000,Douglas,3060,Arcola CUSD 306,Arcola,483.7,450.8
110213060260001,Douglas,3060,Arcola High School,Arcola,483.7,450.8
110230010260000,Edgar,10,Shiloh CUSD 1,Hume,457.3,433.3
110230010260001,Edgar,10,Shiloh High School,Hume,460.7,435.9
110230030260000,Edgar,30,Kansas CUSD 3,Kansas,518.9,493.3
110230030260001,Edgar,30,Kansas High School,Kansas,518.9,493.3
110230060260000,Edgar,60,Edgar County CUD 6,Chrisman,454.4,413.0
110230060260001,Edgar,60,Chrisman High School,Chrisman,454.4,413.0
110238000800000,Edgar,8000,Paris Cooperative High School,Paris,486.1,479.5
110238000800001,Edgar,8000,Paris Cooperative High School,Paris,486.1,479.5
110703000260000,Moultrie,3000,Sullivan CUSD 300,Sullivan,513.6,490.4
110703000260004,Moultrie,3000,Sullivan High School,Sullivan,513.6,490.4
110703020260000,Moultrie,3020,Okaw Valley CUSD 302,Bethany,486.3,434.4
110703020260001,Moultrie,3020,Okaw Valley High School,Bethany,486.3,434.4
110870010260000,Shelby,10,Windsor CUSD 1,Windsor,466.8,461.4
110870010260002,Shelby,10,Windsor Jr & Sr High School,Windsor,466.8,461.4
110870040260000,Shelby,40,Shelbyville CUSD 4,Shelbyville,499.2,505.5
110870040260001,Shelby,40,Shelbyville High School,Shelbyville,499.2,505.5
110870210260000,Shelby,210,Central A & M CUD 21,Assumption,502.4,468.6
110870210260001,Shelby,210,Central A & M High School,Moweaqua,504.8,470.3
120130100260000,Clay,100,Clay City CUSD 10,Clay City,442.0,464.0
120130100260002,Clay,100,Clay City High School,Clay City,442.0,464.0
120130250260000,Clay,250,North Clay CUSD 25,Louisville,500.8,483.9
120130250260001,Clay,250,North Clay Community High School,Louisville,500.8,483.9
120130350260000,Clay,350,Flora CUSD 35,Flora,486.9,451.2
120130350260001,Clay,350,Flora High School,Flora,486.9,451.2
120170010260000,Crawford,10,Hutsonville CUSD 1,Hutsonville,525.9,483.7
120170010260001,Crawford,10,Hutsonville High School,Hutsonville,525.9,483.7
120170020260000,Crawford,20,Robinson CUSD 2,Robinson,514.7,495.3
120170020260001,Crawford,20,Robinson High School,Robinson,514.7,495.3
120170030260000,Crawford,30,Palestine CUSD 3,Palestine,474.0,462.0
120170030260001,Crawford,30,Palestine High School,Palestine,474.0,462.0
120170040260000,Crawford,40,Oblong CUSD 4,Oblong,473.4,465.7
120170040260001,Crawford,40,Oblong High School,Oblong,473.4,465.7
120400010260000,Jasper,10,Jasper County CUD 1,Newton,489.4,493.6
120400010260001,Jasper,10,Newton Comm High School,Newton,489.4,493.6
120510100260000,Lawrence,100,Red Hill CUSD 10,Bridgeport,488.7,473.5
120510100260001,Lawrence,100,Red Hill Jr/Sr High School,Bridgeport,488.7,473.5
120510200260000,Lawrence,200,Lawrence County CUD 20,Lawrenceville,477.8,448.1
120510200260008,Lawrence,200,Lawrenceville High School,Lawrenceville,477.8,448.1
120800010260000,Richland,10,Richland County CUSD 1,Olney,492.8,484.2
120800010260001,Richland,10,Richland County High School,Olney,492.8,484.2
130140010260000,Clinton,10,Carlyle CUSD 1,Carlyle,488.0,497.1
130140010260001,Clinton,10,Carlyle High School,Carlyle,488.0,497.1
130140030260000,Clinton,30,Wesclin CUSD 3,Trenton,531.0,522.6
130140030260006,Clinton,30,Wesclin Sr High School,Trenton,531.0,522.6
130140710160000,Clinton,710,Central CHSD 71,Breese,525.5,531.6
130140710160001,Clinton,710,Central Comm High School,Breese,525.5,531.6
130410010260000,Jefferson,10,Waltonville CUSD 1,Waltonville,489.5,455.5
130410010260001,Jefferson,10,Waltonville High School,Waltonville,489.5,455.5
130412010170000,Jefferson,2010,Mt Vernon Twp HSD 201,Mount Vernon,465.4,451.7
130412010170001,Jefferson,2010,Mount Vernon High School,Mount Vernon,466.0,452.6
130412090270000,Jefferson,2090,Woodlawn Unit School District 209,Woodlawn,482.0,478.8
130412090270001,Jefferson,2090,Woodlawn High School,Woodlawn,482.0,478.8
130413180270000,Jefferson,3180,Bluford Unit School District 318,Bluford,457.5,443.4
130413180270001,Jefferson,3180,Webber High School,Bluford,460.6,445.2
130581000260000,Marion,1000,Patoka CUSD 100,Patoka,456.4,427.3
130581000260002,Marion,1000,Patoka Sr High School,Patoka,456.4,427.3
130582000170000,Marion,2000,Centralia HSD 200,Centralia,475.9,463.9
130582000170001,Marion,2000,Centralia High School,Centralia,475.9,463.9
130584010260000,Marion,4010,South Central CUD 401,Kinmundy,459.7,461.0
130584010260001,Marion,4010,South Central High School,Farina,459.7,461.0
130585010260000,Marion,5010,Sandoval CUSD 501,Sandoval,472.1,429.1
130585010260001,Marion,5010,Sandoval Sr High School,Sandoval,472.1,429.1
130586000160000,Marion,6000,Salem CHSD 600,Salem,477.6,461.7
130586000160001,Marion,6000,Salem Community High School,Salem,477.6,461.7
130587220260000,Marion,7220,Odin PSD 722,Odin,455.0,429.2
130587220260001,Marion,7220,Odin Attendance Center 9-12,Odin,455.0,429.2
130950100260000,Washington,100,West Washington Co CUD 10,Okawville,504.4,486.9
130950100260001,Washington,100,Okawville Jr/Sr High School,Okawville,504.4,486.9
130950990160000,Washington,990,Nashville CHSD 99,Nashville,497.1,508.0
130950990160001,Washington,990,Nashville Comm High School,Nashville,503.5,517.5
150162990250000,Cook,2990,City of Chicago SD 299,Chicago,477.7,473.7
150162990250001,Cook,2990,Amundsen High School,Chicago,502.3,505.6
150162990250003,Cook,2990,Bogan High School,Chicago,416.6,407.2
150162990250006,Cook,2990,Carver Military Academy HS,Chicago,475.2,463.5
150162990250011,Cook,2990,Farragut Career Academy HS,Chicago,430.4,423.8
150162990250012,Cook,2990,Fenger Academy High School,Chicago,427.8,408.1
150162990250013,Cook,2990,Foreman High School,Chicago,416.6,421.3
150162990250014,Cook,2990,Back of The Yards IB HS,Chicago,481.9,501.4
150162990250015,Cook,2990,Gage Park High School,Chicago,406.3,389.5
150162990250016,Cook,2990,Harlan Community Academy HS,Chicago,423.3,403.3
150162990250017,Cook,2990,Harper High School,Chicago,397.6,385.6
150162990250019,Cook,2990,Hirsch Metropolitan High School,Chicago,397.7,384.6
150162990250020,Cook,2990,Hubbard High School,Chicago,446.6,439.7
150162990250021,Cook,2990,Hyde Park Academy High School,Chicago,422.4,413.3
150162990250022,Cook,2990,Kelly High School,Chicago,449.3,451.4
150162990250023,Cook,2990,Kelvyn Park High School,Chicago,418.3,411.3
150162990250024,Cook,2990,Kennedy High School,Chicago,490.2,472.4
150162990250025,Cook,2990,Kenwood Academy High School,Chicago,522.8,514.8
150162990250026,Cook,2990,Lake View High School,Chicago,470.8,466.4
150162990250027,Cook,2990,Lane Technical High School,Chicago,610.2,620.0
150162990250029,Cook,2990,Marshall Metropolitan High School,Chicago,410.6,395.6
150162990250030,Cook,2990,Mather High School,Chicago,454.7,469.9
150162990250031,Cook,2990,Morgan Park High School,Chicago,460.0,442.4
150162990250034,Cook,2990,Phillips Academy High School,Chicago,430.0,423.1
150162990250035,Cook,2990,Roosevelt High School,Chicago,431.2,417.6
150162990250036,Cook,2990,Schurz High School,Chicago,441.8,428.9
150162990250037,Cook,2990,Senn High School,Chicago,465.9,473.6
150162990250039,Cook,2990,King College Prep High School,Chicago,515.7,506.8
150162990250041,Cook,2990,Steinmetz College Prep HS,Chicago,433.1,427.1
150162990250042,Cook,2990,Sullivan High School,Chicago,416.3,414.7
150162990250043,Cook,2990,Taft High School,Chicago,493.3,477.9
150162990250044,Cook,2990,Tilden Career Communty Academy HS,Chicago,416.9,404.3
150162990250046,Cook,2990,Von Steuben Metro Science HS,Chicago,505.3,521.6
150162990250047,Cook,2990,Lincoln Park High School,Chicago,540.0,545.1
150162990250048,Cook,2990,Washington G High School,Chicago,471.5,463.2
150162990250049,Cook,2990,Wells Community Academy HS,Chicago,426.0,425.8
150162990250052,Cook,2990,Crane Medical Prep HS,Chicago,459.8,466.3
150162990250053,Cook,2990,Disney II Magnet HS,Chicago,520.6,474.9
150162990250526,Cook,2990,Chicago Vocational Career Acad HS,Chicago,422.0,406.3
150162990250531,Cook,2990,Dunbar Vocational Career Acad HS,Chicago,412.8,382.9
150162990250533,Cook,2990,Jones College Prep High School,Chicago,635.6,642.1
150162990250534,Cook,2990,Prosser Career Academy HS,Chicago,472.2,469.8
150162990250536,Cook,2990,Richards Career Academy HS,Chicago,397.4,382.2
150162990250537,Cook,2990,Simeon Career Academy High School,Chicago,448.2,426.0
150162990250543,Cook,2990,Corliss High School,Chicago,419.5,394.3
150162990250545,Cook,2990,Clemente Community Academy HS,Chicago,429.8,410.1
150162990250616,Cook,2990,Manley Career Academy High School,Chicago,387.7,365.8
150162990250617,Cook,2990,Curie Metropolitan High School,Chicago,457.5,458.1
150162990250763,Cook,2990,Julian High School,Chicago,411.2,384.5
150162990250764,Cook,2990,Young Magnet High School,Chicago,637.0,647.7
150162990250766,Cook,2990,Robeson High School,Chicago,388.7,373.0
150162990250767,Cook,2990,Juarez Community Academy HS,Chicago,436.9,422.5
150162990250772,Cook,2990,Chicago HS for Agricult Sciences,Chicago,536.4,494.5
150162990250779,Cook,2990,Hancock College Preparatory HS,Chicago,533.5,542.7
150162990250788,Cook,2990,Brooks College Prep Academy HS,Chicago,555.0,544.0
150162990250794,Cook,2990,Northside College Preparatory Hs,Chicago,673.7,674.9
150162990250795,Cook,2990,Chicago Military Academy HS,Chicago,465.2,437.0
150162990250796,Cook,2990,Payton College Preparatory HS,Chicago,689.0,696.4
150162990250799,Cook,2990,Hope College Prep High School,Chicago,381.5,378.5
150162990250803,Cook,2990,Phoenix Military Academy HS,Chicago,491.3,488.8
150162990250818,Cook,2990,Spry Community Links High School,Chicago,421.8,415.0
150162990250820,Cook,2990,Chicago Academy High School,Chicago,472.6,450.4
150162990250824,Cook,2990,Bowen High School,Chicago,412.5,395.6
150162990250825,Cook,2990,North-Grand High School,Chicago,437.6,446.7
150162990250826,Cook,2990,Raby High School,Chicago,412.5,403.6
150162990250827,Cook,2990,Clark Acad Prep Magnet High Schl,Chicago,420.1,406.2
150162990250828,Cook,2990,Rickover Naval Academy High Schl,Chicago,475.0,464.5
150162990250829,Cook,2990,Uplift Community High School,Chicago,426.0,417.6
150162990250830,Cook,2990,World Language High School,Chicago,460.0,435.9
150162990250831,Cook,2990,Douglass Academy High School,Chicago,401.2,378.8
150162990250832,Cook,2990,Devry Advantage Academy High Schl,Chicago,518.3,522.0
150162990250833,Cook,2990,Lindblom Math & Science Acad HS,Chicago,551.4,548.8
150162990250834,Cook,2990,Bronzeville Scholastic HS,Chicago,416.0,400.7
150162990250835,Cook,2990,School of Social Justice HS,Chicago,435.0,425.2
150162990250836,Cook,2990,Multicultural Acad of Scholarshp HS,Chicago,424.5,407.4
150162990250837,Cook,2990,Infinity Math  Science & Tech HS,Chicago,463.6,490.5
150162990250841,Cook,2990,Collins Academy High School,Chicago,409.2,403.7
150162990250843,Cook,2990,Team Englewood Comm Acad HS,Chicago,419.6,385.8
150162990250844,Cook,2990,Austin College and Career Academy High School,Chicago,398.3,393.2
150162990250847,Cook,2990,Orr Academy High School,Chicago,406.5,396.3
150162990250848,Cook,2990,Air Force Acad High School,Chicago,442.4,456.2
150162990250849,Cook,2990,Alcott Humanities High School,Chicago,441.9,456.9
150162990250850,Cook,2990,Chicago Technology Academy HS,Chicago,425.7,420.5
150162990250851,Cook,2990,Chicago HS for the Arts,Chicago,517.4,466.1
150162990250855,Cook,2990,Ogden Int High School,Chicago,496.8,476.8
150162990250856,Cook,2990,Williams Medical Prep High Sch,Chicago,446.1,400.2
150162990250857,Cook,2990,Westinghouse High School,Chicago,521.9,534.3
150162990250859,Cook,2990,Solorio Academy High School,Chicago,481.5,501.4
150162990250860,Cook,2990,South Shore Intl Col Prep HS,Chicago,475.0,453.9
150162990250861,Cook,2990,Goode STEM Academy HS,Chicago,448.0,449.5
150162990250862,Cook,2990,Chicago Excel Academy HS,Chicago,406.6,382.5
150162990252912,Cook,2990,Marine Leadership Academy - Ames,Chicago,443.6,442.5
150169000250000,Cook,9000,Horizon Science Acad-McKinley Park Charter Sch,Chicago,477.8,484.5
150169020250000,Cook,9020,Amandla Charter School,Chicago,405.9,378.7
160194240260000,Dekalb,4240,Genoa Kingston CUSD 424,Genoa,487.8,476.4
160194240260001,Dekalb,4240,Genoa-Kingston High School,Genoa,487.6,476.5
160194250260000,Dekalb,4250,Indian Creek CUSD 425,Shabbona,502.8,508.2
160194250260001,Dekalb,4250,Indian Creek High School,Shabbona,502.8,508.2
160194260260000,Dekalb,4260,Hiawatha CUSD 426,Kirkland,469.6,465.2
160194260260003,Dekalb,4260,Hiawatha Jr/Sr High School,Kirkland,469.8,465.8
160194270260000,Dekalb,4270,Sycamore CUSD 427,Sycamore,526.3,525.7
160194270260001,Dekalb,4270,Sycamore High School,Sycamore,527.2,526.8
160194280260000,Dekalb,4280,DeKalb CUSD 428,Dekalb,496.3,470.5
